Description,Price,Rating,Url
"Classmate Notebook - Single Line, 140 Pages, 240 mm x 180 mm - Pack Of 4",₹185,4.3 out of 5 stars,https://www.amazon.com/Classmate-Notebook-Single-Line-Pages/dp/B0883PBDJF/ref=sr_1_16?keywords=notebook&qid=1698814058&sr=8-16
Faber-Castell STUDENT NOTEBOOK LONG 92 PAGES SINGLE LINE,₹32,3.1 out of 5 stars,https://www.amazon.com/Faber-Castell-STUDENT-NOTEBOOK-PAGES-SINGLE/dp/B0CB7TD9T1/ref=sr_1_17?keywords=notebook&qid=1698814058&sr=8-17
Faber-Castell STUDENT NOTEBOOK LONG 92 PAGES UNRULED,₹32,3.7 out of 5 stars,https://www.amazon.com/Faber-Castell-STUDENT-NOTEBOOK-PAGES-UNRULED/dp/B0CB7T48YB/ref=sr_1_18?keywords=notebook&qid=1698814058&sr=8-18
Paperkraft Expression 5 Subject| Hard  Cover Notebook | 18.2 cm x 24.3 cm | Single Line | 400 Pages,₹232,4.4 out of 5 stars,https://www.amazon.com/Paperkraft-Expression-Series-2252003-Notebook/dp/B00LZLQJV2/ref=sr_1_19?keywords=notebook&qid=1698814058&sr=8-19
FACTOR NOTES A6 Notebook: Ruled | 100 GSM | 144 Pages (Free Your Mind),₹95,4.3 out of 5 stars,https://www.amazon.com/FACTOR-NOTES-A6-Notebook-Ruled/dp/B0BTHWSWWC/ref=sr_1_20?keywords=notebook&qid=1698814058&sr=8-20
Amazon Brand - Solimo London Lanes A5 Size Hardbound Notebook | 80 GSM | 192 Pages (140 X 210 mm),₹229,4.3 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjA4ODE3NzQ4ODY0NjY5OjE2OTg4MTQwNTg6c3BfbXRmOjMwMDA1NzEwMDk3NzAzMjo6MDo6&url=%2FAmazon-Brand-Solimo-Hardbound-Notebook%2Fdp%2FB0C8NT4G3X%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dnotebook%26qid%3D1698814058%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Amazon Basics Classic Notebook, Plain - (130mm x 210mm) - 240 pages (Black)",₹259,4.4 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjA4ODE3NzQ4ODY0NjY5OjE2OTg4MTQwNTg6c3BfbXRmOjIwMTQ0NjAxMDc3OTk4OjowOjo&url=%2FAmazonBasics-Classic-Notebook-Plain-130mm%2Fdp%2FB01DN8TB5U%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dnotebook%26qid%3D1698814058%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"AmazonBasics Classic Notebook, Ruled - (130mm x 210mm) - 240 pages (Black)",₹319,4.3 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjA4ODE3NzQ4ODY0NjY5OjE2OTg4MTQwNTg6c3BfbXRmOjIwMTQ0NjM1NjUxNjk4OjowOjo&url=%2FAmazonBasics-Classic-Notebook-Ruled-130mm%2Fdp%2FB01DN8TCEU%2Fref%3Dsr_1_23_sspa%3Fkeywords%3Dnotebook%26qid%3D1698814058%26sr%3D8-23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
CAVALO - Be Unique Leather Diary Embossed With Leaf of Tree & a Quote Antique Handmade Leather Bound Diary cum Notepad for Men and Women Plain Paper of 5×7 Inch Size 240 Pages Perfect for Travel Diary,₹499,4.4 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMjA4ODE3NzQ4ODY0NjY5OjE2OTg4MTQwNTg6c3BfbXRmOjIwMTY2NjEwMzI4MDk4OjowOjo&url=%2FCAVALO-Leather-Embossed-Handmade-Notebooks%2Fdp%2FB08PSMHL5L%2Fref%3Dsr_1_24_sspa%3Fkeywords%3Dnotebook%26qid%3D1698814058%26sr%3D8-24-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Classmate Pulse 6 Subject Notebook - Unruled, 300 Pages, Spiral Binding, 240mm*180mm",₹134,4.2 out of 5 stars,https://www.amazon.com/Classmate-Pulse-Spiral-Notebook-Unruled/dp/B00P93X0VO/ref=sr_1_25?keywords=notebook&qid=1698814058&sr=8-25
"Classmate Pulse Spiral Notebook - 240 mm x 180 mm, Soft Cover, 200 Pages, Unruled",₹74,4.1 out of 5 stars,https://www.amazon.com/Classmate-Pulse-Spiral-Notebook-Unruled/dp/B00P93X2H6/ref=sr_1_26?keywords=notebook&qid=1698814058&sr=8-26
