Website,Product Name,Price
Amazon,        Apple iPhone 14 (128 GB) - Midnight       ,"₹61,999.00"
Flipkart,"APPLE iPhone 14 (Midnight, 128 GB)","₹69,900"
Price Difference,Price in Amazon is Cheaper by,7901.0
