Website,Product Name,Price
Amazon,"        Optimum Nutrition (ON) Gold Standard 100% Whey Protein Powder (Vanilla Ice Cream)2 lbs, 907 g, for Muscle Support & Recovery, Vegetarian - Primary Source Whey Isolate       ","₹2,849.00"
Flipkart,"Optimum Nutrition (ON) Gold Standard 100% Powder - Primary Source Isolate Whey Protein  (907 g, Vanilla Ice Cream)","₹3,099"
Price Difference,Price in Amazon is Cheaper by,250.0
