Website,Product Name,Price
Amazon,        Apple iPhone 14 Pro (256 GB) - Gold       ,"₹1,39,900.00"
Flipkart,"APPLE iPhone 14 Pro (Gold, 256 GB)","₹1,29,900"
Price Difference,Price in Flipkart is Cheaper by,10000.0
